"","Article","Noun","Translation"
"701","das","Kilogramm","kilogram"
"702","die","Verwaltung","administration"
"703","die","Weile","while"
"704","die","Adresse","address"
"705","der","Betrag","amount"
"706","der","Hals","neck, throat"
"707","die","Heimat","home, homeland"
"708","der","Kauf","purchase"
"709","das","Kino","cinema, movie theater"
"710","die","Konkurrenz","competition"
"711","die","Mathematik","mathematics"
"712","die","Schicht","layer, class"
"713","der","Schwerpunkt","main emphasis, center of gravity"
"714","der","Streit","argument, fight"
"715","die","Verhandlung","negotiation"
"716","der","Ablauf","expiry, action"
"717","der","Arbeitnehmer","employee"
"718","das","Drittel","third"
"719","der/die","Erwachsene","adult, grown-up"
"720","der","Fahrer","driver"
"721","das","Gegenteil","opposite"
"722","die","Gemeinschaft","community"
"723","die","Gewerkschaft","trade union"
"724","der","Handel","trade"
"725","der","Kanzler","chancellor"
"726","das","Management","management"
"727","der","Millimeter","millimeter"
"728","der","Minister","minister"
"729","der","Nachteil","disadvantage"
"730","die","Platte","disk, record, plate"
"731","der","Sitz","seat, headquarters"
"732","der","Start","start, take-off, launch"
"733","die","Tabelle","table, chart"
"734","der","Tourismus","tourism"
"735","der","Verdacht","suspicion"
"736","der","Vogel","bird"
"737","der","Widerstand","resistance, opposition"
"738","der/die","Beamte","official, civil servant"
"739","die","Investition","investment"
"740","die","Planung","planning, plan"
"741","der","Polizist","policeman"
"742","der","Schriftsteller","writer"
"743","die","Stärke","strength"
"744","die","Steuer","tax"
"745","das","Steuer","steering wheel, helm"
"746","die","Therapie","therapy"
"747","die","Überlegung","thought, thinking"
"748","der","Verkehr","traffic"
"749","die","Verletzung","injury"
"750","der/die","Abgeordnete","member of the parliament, congress"
"751","der","Anschluss","connection"
"752","die","Armee","army"
"753","die","Atmosphäre","atmosphere"
"754","die","Auswahl","choice, selection"
"755","die","Beschreibung","description"
"756","das","Boot","boat"
"757","die","Einnahmen","income, receipts, revenue"
"758","die","Erkrankung","illness, disease"
"759","die","Fläche","area, surface"
"760","der","Flughafen","airport"
"761","das","Gehirn","brain"
"762","die","Gesundheit","health"
"763","der","Park","park"
"764","der","PC","computer"
"765","die","Physik","physics"
"766","die","Post","mail, post office"
"767","die","Saison","season"
"768","die","Stirn","forehead"
"769","die","Strategie","strategy"
"770","der","Wechsel","change"
"771","der","Alltag","workday, daily routine"
"772","der","Auftritt","appearance, entrance"
"773","der","Bahnhof","railway station"
"774","der","Bundeskanzler","federal chancellor"
"775","die","Demokratie","democracy"
"776","die","Erwartung","expectation"
"777","das","Fahrzeug","vehicle"
"778","die","Fotografie","photography"
"779","der","Hersteller","manufacturer, producer"
"780","das","Holz","wood"
"781","das","Knie","knee"
"782","die","Kombination","combination"
"783","die","Liste","list"
"784","das","Niveau","level, standard"
"785","der","Pfarrer","pastor"
"786","das","Schicksal","fate"
"787","die","Schrift","script, handwriting"
"788","der","Standort","site, location"
"789","der","Verlag","publishing company"
"790","der","Zeltraum","period of time"
"791","die","Abteilung","department"
"792","der","Beweis","proof, evidence"
"793","das","Detail","detail"
"794","die","Dimension","dimension"
"795","der","Forscher","researcher"
"796","die","Integration","integration"
"797","die","Kasse","cash register, checkout"
"798","die","Kategorie","category"
"799","der","Organismus","organism"
"800","das","Radio","radio"
