"","Article","Noun","Translation"
"601","der","Terrorismus","terrorism"
"602","der","Trainer","coach"
"603","der","Zweifel","doubt"
"604","die","Anforderung","request, demand"
"605","das","Bad","bath, bathroom, spa"
"606","die","Belastung","load, strain"
"607","der","Bus","bus"
"608","der","Effekt","effect"
"609","die","Messe","trade fair, mass"
"610","der","Umfang","circumference, size, extent"
"611","die","Vorschrift","instruction, regulation"
"612","das","Fahrrad","bicycle"
"613","die","Kommission","commission, committee"
"614","das","Krankenhaus","hospital"
"615","der","Mangel","lack, shortage, defect"
"616","der","Richter","judge"
"617","der","Terrorist","terrorist"
"618","das","Urteil","sentence, judgement"
"619","der","Anbieter","supplier"
"620","die","Decke","ceiling, blanket"
"621","der","Fisch","fish"
"622","das","Fleisch","meat, flesh"
"623","die","Jugend","youth"
"624","der","Schmerz","pain, grief"
"625","die","Schuld","guilt"
"626","die","Stimmung","mood, atmosphere"
"627","die","Tasche","pocket, bag"
"628","der","Wein","wine"
"629","die","Welle","wave"
"630","der","Wettbewerb","competition"
"631","das","Wetter","weather"
"632","die","Alternative","alternative"
"633","die","Auswirkung","effect"
"634","das","Bedürfnis","need"
"635","die","Haltung","posture, attitude"
"636","der","Leser","reader"
"637","die","Tante","aunt"
"638","die","Temperatur","temperature"
"639","die","Waffe","weapon"
"640","die","Ware","goods"
"641","die","Ahnung","suspicion, idea"
"642","die","Brust","breast, chest"
"643","die","Einführung","introduction"
"644","die","Fahrt","drive, trip"
"645","die","Förderung","support, sponsorship"
"646","das","Kleid","dress"
"647","die","Koalition","coalition"
"648","die","Länge","length"
"649","das","Loch","hole"
"650","der","Manager","manager"
"651","die","Quelle","source, spring"
"652","der","Regen","rain"
"653","die","Religion","religion"
"654","der","Spieler","player"
"655","die","Summe","sum"
"656","der","Termin","appointment, date"
"657","der","Test","test"
"658","der","Tourist","tourist"
"659","der","Umsatz","turnover, sales"
"660","das","Vertrauen","trust, faith"
"661","die","Verwendung","use"
"662","der","Vorwurf","reproach, accusation"
"663","der","Wissenschaftler","scholar, scientist"
"664","das","Bier","beer"
"665","die","Bundesregierung","federal government"
"666","das","Konzert","concert"
"667","die","Krise","crisis"
"668","die","Landwirtschaft","agriculture"
"669","das","Leid","sorrow, grief"
"670","das","Lied","song"
"671","das","Merkmal","feature"
"672","das","Parlament","parliament"
"673","die","Pause","pause, break"
"674","die","Perspektive","perspective, prospects"
"675","das","Phänomen","phenomenon"
"676","die","Realität","reality"
"677","die","Suche","search"
"678","der","Weltkrieg","world war"
"679","der","Arbeitgeber","employer"
"680","der","Aufbau","construction, structure"
"681","die","Bestimmungen","regulation, purpose, fate"
"682","die","Botschaft","message"
"683","das","Brot","bread"
"684","die","Flasche","bottle"
"685","die","Formel","formula"
"686","der","Fortschritt","progress"
"687","der","Geburtstag","birthday"
"688","die","Gegenwart","present"
"689","die","Hauptstadt","capital city"
"690","die","Mühe","effort, trouble"
"691","die","Nachfrage","demand"
"692","die","Pflicht","duty"
"693","der","Studiengang","course of study"
"694","der","Teilnehmer","participant"
"695","der","Wille","will"
"696","die","Debatte","debate"
"697","die","Fremdsprache","foreign language"
"698","der","Gegner","opponent, competitor, enemy"
"699","die","Hinsicht","respect"
"700","der","Käufer","buyer"
