"","Article","Noun","Translation"
"1701","die","Jacke","jacket"
"1702","die","Jagd","hunt, chase"
"1703","die","Jahreszeit","season"
"1704","die","Lampe","lamp"
"1705","die","Linse","lens"
"1706","die","Lücke","gap"
"1707","das","Metall","metal"
"1708","der","Missbrauch","abuse, misuse"
"1709","die","Motivation","motivation"
"1710","die","Option","option"
"1711","der","Ordner","file"
"1712","der","Ozean","ocean"
"1713","der","Physiker","physicist"
"1714","die","Pistole","pistol"
"1715","die","Reichweite","reach, range"
"1716","die","Reparatur","repair"
"1717","der","Respekt","respect"
"1718","die","Rose","rose"
"1719","der","Rucksack","rucksack, backpack"
"1720","der","Sänger","singer"
"1721","die","Tablette","tablet, pill"
"1722","die","Tageszeitung","daily newspaper"
"1723","der","Therapeut","therapist"
"1724","der","Umzug","move, parade"
"1725","der","Veranstalter","organizer"
"1726","die","Verknüpfung","combination, link"
"1727","das","Vorfeld","advance"
"1728","der","Vorgänger","predecessor"
"1729","die","Währung","currency"
"1730","der","Weltmeister","world champion"
"1731","die","Wut","rage, fury"
"1732","die","Zuordnung","classification, assignment"
"1733","der","Zuwachs","increase"
"1734","der","Abfall","waste, trash"
"1735","die","Akte","file"
"1736","die","Anleihe","loan, bond, borrowing"
"1737","die","Arbeitszeit","working hours"
"1738","der","Aufsichtsrat","supervisory board"
"1739","der","Ausgangspunkt","starting point"
"1740","die","Ausrichtung","orientation, organization"
"1741","der","Ausweis","identity card"
"1742","die","Beachtung","attention, consideration"
"1743","das","Diplom","degree, diploma"
"1744","der","Einblick","insight"
"1745","der","Engel","angel"
"1746","die","Erfassung","recording, entry"
"1747","die","Fahne","flag"
"1748","die","Fakultät","faculty"
"1749","die","Fassade","facade, front"
"1750","die","Feier","celebration"
"1751","der","Frühling","spring"
"1752","der","Gemeinderat","district council"
"1753","das","Gewebe","fabric, tissue"
"1754","der","Gruß","greeting"
"1755","der","Jurist","jurist, law student"
"1756","die","Kerze","candle"
"1757","der","Koch","cook"
"1758","die","Kommune","municipality, local authority"
"1759","die","Koralle","coral"
"1760","die","Krankenkasse","health insurance, company"
"1761","der","Kunststoff","synthetic material, plastic"
"1762","die","Landesregierung","state government"
"1763","die","Laune","mood"
"1764","das","Nahrungsmittel","food"
"1765","der","Philosoph","philosopher"
"1766","der","Prinz","prince"
"1767","das","Profil","profile"
"1768","die","Relation","appropriateness, proportion, relation"
"1769","das","Riff","reef"
"1770","die","Schlange","snake, line"
"1771","das","Schwein","pig"
"1772","die","Selbstständigkeit","independence"
"1773","die","Siedlung","settlement, housing development"
"1774","der","Spruch","saying, slogan"
"1775","die","Stellungnahme","opinion, statement"
"1776","der","Strahl","ray, beam"
"1777","die","Strömung","current, trend"
"1778","die","Verbindlichkeit","obligation, liability, reliability"
"1779","das","Volumen","volume, total amount"
"1780","der","Zugriff","access"
"1781","der","Zuhörer","listener, audience"
"NA",NA,NA,NA
"NA.1",NA,NA,NA
"NA.2",NA,NA,NA
"NA.3",NA,NA,NA
"NA.4",NA,NA,NA
"NA.5",NA,NA,NA
"NA.6",NA,NA,NA
"NA.7",NA,NA,NA
"NA.8",NA,NA,NA
"NA.9",NA,NA,NA
"NA.10",NA,NA,NA
"NA.11",NA,NA,NA
"NA.12",NA,NA,NA
"NA.13",NA,NA,NA
"NA.14",NA,NA,NA
"NA.15",NA,NA,NA
"NA.16",NA,NA,NA
"NA.17",NA,NA,NA
"NA.18",NA,NA,NA
