"801","der","Unfall","accident"
"802","die","Verbesserung","improvement"
"803","die","Verpflichtung","commitment, obligation"
"804","das","Abitur","school leaving exam, A levels"
"805","der","Bedarf","need, demand"
"806","die","Beratung","advice, discussion, consultation"
"807","die","Beschäftigung","employment, job, activity, occupation"
"808","die","Betrachtung","contemplation, examination"
"809","das","Frühjahr","spring"
"810","das","Gewicht","weight"
"811","der","Journalist","journalist"
"812","die","Kompetenz","competence, authority"
"813","das","Lebensmittel","food"
"814","der","Mittelpunkt","midpoint, center of focus"
"815","der","Spiegel","mirror"
"816","der","Strand","beach"
"817","die","Treppe","stairs"
"818","das","Vermögen","assets, fortune, ability"
"819","das","Wesen","being, creature, nature"
"820","die","Arbeitslosigkeit","unemployment"
"821","die","Beobachtung","observation"
"822","der","Bestandteil","component"
"823","die","Beteiligung","participation"
"824","die","Bewertung","assessment"
"825","die","Bezeichnung","name, term"
"826","die","Brücke","bridge"
"827","die","CD","CD"
"828","der","Gebrauch","use"
"829","der","Geschäftsführer","manager"
"830","die","Lippe","lip"
"831","der","Ministerpräsident","governor, minister, president"
"832","der","Nutzen","benefit, profit, use"
"833","der","Ruf","reputation, call"
"834","das","Signal","signal"
"835","der","Standard","standard"
"836","der","Start","star, starling"
"837","die","Substanz","substance"
"838","die","Taste","key, button"
"839","das","Teilchen","particle"
"840","die","Versicherung","insurance, assurance"
"841","die","Vorbereitung","preparation"
"842","der","Vordergrund","foreground"
"843","der","Anwalt","attorney, lawyer"
"844","das","Experiment","experiment"
"845","der","Glauben","faith, belief"
"846","der","Grundsatz","principle"
"847","die","Komponente","component"
"848","die","Oberfläche","surface"
"849","das","Reich","empire, kingdom"
"850","das","Rennen","race"
"851","der","Schlag","blow"
"852","der","Schuh","shoe"
"853","das","Seminar","seminar"
"854","die","Sendung","broadcast"
"855","die","Spannung","suspense, tension"
"856","die","Technologie","technology"
"857","die","Truppe","troops, unit"
"858","das","Umfeld","milieu"
"859","der","Verbraucher","consumer"
"860","der","Verkauf","sale"
"861","das","Viertel","quarter, district"
"862","das","Vorjahr","previous year"
"863","die","Bilanz","balance sheet"
"864","das","Erlebnis","experience"
"865","das","Grundstück","plot of land"
"866","die","Identität","identity"
"867","die","Kamera","camera"
"868","der","Kanal","canal, channel"
"869","die","Karriere","career"
"870","der","Kredit","credit"
"871","das","Quartal","quarter of the year"
"872","das","Rad","wheel"
"873","der","Rechner","computer, calculator"
"874","der","Schlaf","sleep"
"875","der","Sender","broadcasting station"
"876","das","Tal","valley"
"877","die","Tiefe","depth"
"878","das","TV","TV"
"879","der","Verlauf","course"
"880","die","Zigarette","cigarette"
"881","der","Aktionär","shareholder"
"882","der","Atem","breath"
"883","die","Auffassung","point of view"
"884","der","Bewohner","inhabitant, occupant"
"885","der","Charakter","character"
"886","das","Einkommen","income"
"887","die","Erziehung","upbringing, education"
"888","die","Geburt","birth"
"889","die","Halle","hall"
"890","die","Herausforderung","challenge"
"891","die","Informationstechnologie","information technology"
"892","der","Mittag","noon, midday"
"893","die","Niederlage","defeat"
"894","die","Norm","norm"
"895","die","Reform","reform"
"896","das","Restaurant","restaurant"
"897","der","Schauspieler","actor"
"898","der","Schnee","snow"
"899","die","Schülerin","schoolgirl"
"900","der","Service","service"
