"201","das","Gebiet","region, area"
"202","der","Dank","gratefulness"
"203","das","Dorf","village"
"204","der","Kollege","colleague"
"205","die","Angabe","information, statement"
"206","der","Bruder","brother"
"207","die","Verfügung","disposal"
"208","das","Fach","compartment, subject"
"209","das","Herz","heart"
"210","der","Kontakt","contact"
"211","die","Menge","quantity, amount"
"212","der","Sommer","summer"
"213","der","Unterschied","difference"
"214","der","Anspruch","claim"
"215","die","Antwort","answer, reply"
"216","die","Verbindung","connection, link"
"217","die","Vorstellung","idea, introduction"
"218","die","Anwendung","application, use"
"219","das","Alter","age"
"220","die","Kosten","costs, expenses"
"221","der","Patient","patient"
"222","die","Polizei","police"
"223","das","Theater","theater"
"224","die","Ausbildung","training, development"
"225","die","Gefahr","danger"
"226","das","Gerät","tool, piece of equipment, appliance"
"227","der","Kilometer","kilometer"
"228","die","Hilfe","help"
"229","der","Computer","computer"
"230","der","Dollar","dollar"
"231","das","Verfahren","method, process, technique"
"232","der","Vertrag","contract"
"233","die","Maßnahme","measure"
"234","die","Mitte","middle"
"235","die","Ordnung","order, tidiness"
"236","der","Stoff","material, substance"
"237","der","Beginn","beginning"
"238","das","Glück","luck, fortune"
"239","das","Wochenende","weekend"
"240","der","Professor","professor"
"241","die","Reihe","row, line"
"242","der","Westen/West","west"
"243","die","Bevölkerung","population, people"
"244","das","Institut","institute"
"245","der","Osten/Ost","east"
"246","die","Schwester","sister"
"247","die","Erde","earth, ground, soil"
"248","die","Ebene","plane, level"
"249","die","Reise","journey, trip"
"250","die","Einheit","unity, unit"
"251","das","Haar","hair"
"252","das","Lächeln","smile"
"253","die","Nähe","vicinity, proximity"
"254","das","Prinzip","principle"
"255","der","Vorteil","advantage"
"256","die","Struktur","structure"
"257","der","Autor","author"
"258","die","Bedingung","condition, stipulation"
"259","das","Risiko","risk"
"260","die","Wahl","choice, election"
"261","die","Wirkung","effect"
"262","der","Brief","letter"
"263","die","Größe","size, height"
"264","die","Medien","media"
"265","die","Macht","power, strength"
"266","die","Untersuchung","examination, investigation"
"267","die","Veränderung","change"
"268","die","Daten","data"
"269","der","Einfluss","influence"
"270","die","Methode","method"
"271","die","Organisation","organization"
"272","die","Liebe","love"
"273","die","Rede","speech, talk"
"274","der","Sport","sport"
"275","der","Augenblick","moment"
"276","die","Diskussion","discussion, debate"
"277","die","Forderung","demand, claim"
"278","der","Kreis","circle, district"
"279","die","Technik","technology, technique"
"280","der","Versuch","attempt, experiment"
"281","das","Schweigen","silence"
"282","die","Krankheit","illness, disease"
"283","die","Schwierigkeit","difficulty"
"284","die","Tätigkeit","activity"
"285","die","Voraussetzung","condition, requirement"
"286","der","Kampf","fight, struggle"
"287","der","Künstler","artist"
"288","die","Region","region"
"289","der","Eindruck","impression"
"290","die","Reaktion","reaction"
"291","der","Beitrag","contribution"
"292","das","Konzept","draft, plan"
"293","die","Linie","line"
"294","der","Mund","mouth"
"295","der","Wunsch","wish"
"296","der","Artikel","article"
"297","der","Gegensatz","opposite, contrast"
"298","das","Kapitel","chapter"
"299","die","Literatur","literature"
"300","der","Rücken","back"
