"301","die","Zelle","cell"
"302","die","Aussage","statement"
"303","der","Bürger","citizen"
"304","der","Himmel","sky, heaven"
"305","der","Inhalt","contents, plot"
"306","die","Wand","wall"
"307","die","Bibliothek","library"
"308","die","Farbe","color"
"309","der/die","Jugendliche","adolescent"
"310","das","Maß","measure"
"311","der","Ansatz","approach, attempt"
"312","der","Aspekt","aspect"
"313","das","Bein","leg"
"314","die","Erinnerung","memory"
"315","die","Kenntnis","knowledge"
"316","der","Kurs","course, exchange rate"
"317","das","Papier","paper"
"318","die","Sekunde","second"
"319","die","Sonne","sun"
"320","der","Umstand","circumstance"
"321","die","Wissenschaft","science"
"322","der","Garten","garden"
"323","die","Küche","kitchen, cuisine"
"324","die","Wirklichkeit","reality"
"325","der","Druck","pressure, printing"
"326","das","Essen","food, meal"
"327","die","Grundlage","basis"
"328","der","Zustand","condition, state"
"329","die","Hälfte","half"
"330","das","Meer","sea, ocean"
"331","der","Dienst","service, duty"
"332","der","Gegenstand","object"
"333","der","Plan","plan"
"334","der","Zeitpunkt","moment, point in time"
"335","der","Auftrag","instructions, order, job"
"336","der","Baum","tree"
"337","die","Freude","joy"
"338","die","Gemeinde","community, municipality"
"339","der","Hinweis","hint"
"340","das","Netz","net, network"
"341","die","Position","position"
"342","der","Schluss","end, conclusion"
"343","die","Bundesrepublik","Federal Republic"
"344","die","Forschung","research"
"345","das","Glas","glass"
"346","die","Haut","skin"
"347","die","Praxis","practice, doctor's office"
"348","der","Wald","forest, woods"
"349","der","Ausdruck","term, expression"
"350","der","Finger","finger"
"351","die","Freundin","friend"
"352","der","Roman","novel"
"353","die","Sicht","view, visibility"
"354","die","Theorie","theory"
"355","die","Umwelt","environment"
"356","der","Haushalt","household, budget"
"357","der","Hund","dog"
"358","die","Maschine","machine"
"359","die","Nummer","number"
"360","der","Politiker","politician"
"361","das","Team","team"
"362","der","Titel","title"
"363","der","Verein","association, club"
"364","das","Fernsehen","television"
"365","die","Schulter","shoulder"
"366","die","Unterstützung","support"
"367","das","Zeichen","sign"
"368","das","Material","material"
"369","die","Produktion","production"
"370","der","Rest","rest, remains"
"371","die","Ruhe","silence, peace"
"372","der","Schaden","damage"
"373","der","Soldat","soldier"
"374","die","Sorge","worry"
"375","die","Tatsache","fact"
"376","die","Umgebung","surroundings"
"377","das","Volk","people"
"378","der","Wagen","car, carriage"
"379","der","Wind","wind"
"380","der","Zweck","purpose"
"381","der","Angriff","attack"
"382","der","Antrag","application"
"383","der/das","Grad","degree"
"384","der","Job","job"
"385","die","Öffentlichkeit","public"
"386","der","Schutz","protection"
"387","der","Anteil","share, portion"
"388","der/die","Beschäftigte","employee"
"389","der","Besuch","visit"
"390","die","Energie","energy"
"391","die","Erklärung","explanation"
"392","der","Gang","corridor, aisle, course"
"393","der","Lauf","course, running"
"394","der","Unterricht","instruction, classes"
"395","das","Zentrum","center"
"396","das","Amt","office, department, function"
"397","der","Anschlag","attack"
"398","das","Ausland","foreign countries"
"399","die","Behandlung","treatment"
"400","die","Einrichtung","institution, furnishings"
