"1501","die","Überprüfung","screening, check, inspection"
"1502","der","Unsinn","nonsense"
"1503","das","Verbot","ban, prohibition"
"1504","die","Vermutung","assumption, presumption"
"1505","die","Versammlung","meeting, gathering, assembly"
"1506","die","Wäsche","washing, laundry"
"1507","die","Werkstatt","workshop, garage"
"1508","die","Wirtschaftspolitik","economic policy"
"1509","das","Zeug","stuff"
"1510","die","Zunge","tongue"
"1511","der","Zwang","force, pressure, compulsion"
"1512","das","Antibiotikum","antibiotic"
"1513","die","Anweisung","instruction"
"1514","der","Anzug","suit"
"1515","die","Architektur","architecture"
"1516","das","Atom","atom"
"1517","der","Aufstieg","climb, rise"
"1518","der","Ausflug","outing, trip"
"1519","der","Ausgang","exit, outcome, starting point"
"1520","die","Ausstattung","equipment, provision, furnishings"
"1521","die","Bearbeitung","working, handling"
"1522","die","Besonderheit","characteristic, specific, feature"
"1523","der","Betracht","consideration"
"1524","die","Biologie","biology"
"1525","die","Breite","width"
"1526","die","Butter","butter"
"1527","der","Champion","champion"
"1528","die","Differenzierung","differentiation"
"1529","der","Dirigent","musical conductor"
"1530","die","Entdeckung","discovery"
"1531","die","Erfindung","invention"
"1532","der","Ersatz","replacement, compensation"
"1533","die","Feuerwehr","fire brigade"
"1534","das","Fieber","fever"
"1535","die","Fluggesellschaft","airline"
"1536","die","Gebühr","fee"
"1537","das","Gepäck","luggage"
"1538","das","Gerücht","rumor"
"1539","der","Gesetzgeber","legislator, legislature"
"1540","die","Gliederung","structure, organization"
"1541","das","Grab","grave"
"1542","der","Grenzwert","limiting value, limit"
"1543","das","Handwerk","craft, trade"
"1544","das","Heft","notebook"
"1545","der","Helfer","helper, accomplice"
"1546","die","Intelligenz","intelligence"
"1547","der","Jäger","hunter"
"1548","die","Kartoffel","potato"
"1549","der","Käse","cheese"
"1550","der","Klang","sound, tone"
"1551","der","Kompromiss","compromise"
"1552","die","Königin","queen"
"1553","die","Konstruktion","construction, design"
"1554","der","Kreislauf","circulation"
"1555","die","Kugel","ball, sphere, bullet"
"1556","die","Kuh","cow"
"1557","die","Leiche","corpse"
"1558","die","Leidenschaft","passion"
"1559","die","Leistungsfähigkeit","productivity, power"
"1560","die","Lieferung","delivery"
"1561","die","Liga","league"
"1562","das","Milligramm","milligram"
"1563","der","Nachwuchs","offspring, new generation"
"1564","der","Nacken","neck"
"1565","das","Olympia","Olympics"
"1566","der","Parteitag","party conference, convention"
"1567","die","Party","party"
"1568","der","Planet","planet"
"1569","der","Priester","priest"
"1570","die","Problematik","problematic nature, problems"
"1571","die","Rezession","recession"
"1572","der","Salon","salon, drawing room"
"1573","die","Schauspielerin","actress"
"1574","die","Schwangerschaft","pregnancy"
"1575","der","Schweiß","sweat"
"1576","die","Skala","scale, dial, range"
"1577","die","Spalte","fissure, cleft, column"
"1578","das","Spektrum","spectrum"
"1579","die","Steckdose","socket, electrical outlet"
"1580","die","Tafel","board, table"
"1581","das","Tagebuch","diary"
"1582","das","Talent","talent"
"1583","das","Tempo","pace, speed"
"1584","die","Unruhe","restlessness, agitation"
"1585","die","Unterschrift","signature"
"1586","der","Ursprung","origin"
"1587","das","Verbrechen","crime"
"1588","das","Vergnügen","pleasure"
"1589","die","Verhaltensweise","behavior"
"1590","der","Vermieter","landlord"
"1591","die","Vernunft","reason"
"1592","die","Verordnung","prescription, order"
"1593","die","Villa","villa"
"1594","der","Vormittag","morning"
"1595","das","Wohnzimmer","living room"
"1596","die","Zerstörung","destruction"
"1597","der","Zinssatz","interest rate"
"1598","die","Zulassung","admission, license"
"1599","die","Zusammensetzung","composition"
"1600","die","Abschreibung","deduction, depreciation"
