Sub,der,Altbau,-ten,old building,"ein Gebäude, das schon älter ist",Der Altbau hat hohe Decken.
Sub,das,Dach,ä-er,roof,die obere Abdeckung eines Gebäudes,Das Dach ist beschädigt.
Sub,das,Dachgeschoss,-e,attic,oberster Stock eines Hauses,Im Dachgeschoss gibt es eine Wohnung.
Sub,die,Decke,-n,ceiling,die obere Fläche eines Raumes,Die Decke ist sehr hoch.
Sub,die,Einbauküche,-n,fitted kitchen,"eine Küche, die eingebaut ist",Die Wohnung hat eine moderne Einbauküche.
Sub,der,Fußboden,-ö,floor,die untere Fläche eines Raumes,Der Fußboden ist aus Holz.
Sub,das,Haustier,-e,pet,"ein Tier, das man zu Hause hält",Mein Haustier ist ein Hund.
Sub,die,Kaltmiete,-n,cold rent,Miete ohne Nebenkosten,Die Kaltmiete ist sehr günstig.
Sub,die,Kaution,-en,deposit,eine Sicherheitszahlung beim Mietverhältnis,Sie musste eine Kaution hinterlegen.
Sub,die,Nebenkosten,,additional costs,"Kosten neben der Miete, z.B. für Wasser und Heizung",Die Nebenkosten sind sehr hoch.
Sub,der,Neubau,-ten,new building,ein neu gebautes Gebäude,Der Neubau wurde letzten Monat fertiggestellt.
Sub,das,Obergeschoss,-e,upper floor,der Stock oberhalb des Erdgeschosses,Das Büro befindet sich im Obergeschoss.
Sub,das,Viertel,,district,ein Stadtteil,Sie lebt in einem ruhigen Viertel.
Sub,die,Warmmiete,-n,warm rent,Miete inklusive Nebenkosten,Die Warmmiete beträgt 900 Euro.
Sub,die,Wohnfläsche,-n,living space,"die Fläche, in der man wohnt",Die Wohnung hat eine Wohnfläche von 80 m².
Sub,die,Wohnküche,-n,kitchen-living room,ein kombinierter Raum aus Küche und Wohnzimmer,Die Wohnung hat eine große Wohnküche.
Sub,der,Zustand,ä-e,condition,der Zustand von etwas,Der Zustand des Hauses ist sehr gut.
Sub,die,Zweizimmerwohnung,-en,two-room apartment,eine Wohnung mit zwei Zimmern,Sie hat eine schöne Zweizimmerwohnung.
Sub,die,Zwischenmiete,,sublet,ein Mietvertrag für eine kurze Zeit,Sie sucht eine Wohnung zur Zwischenmiete.
Phrase,,außerhalb,,outside,nicht innerhalb von etwas,Der Park ist außerhalb der Stadt.
Adj,,eingerichtet,,furnished,mit Möbeln ausgestattet,Die Wohnung ist komplett eingerichtet.
Adj,,gemütlich,,cozy,angenehm und einladend,Das Zimmer ist sehr gemütlich.
Adj,,ideal,,ideal,perfekt für einen bestimmten Zweck,Die Wohnung ist ideal für Studenten.
Adj,,komplett,,complete,ganz und vollständig,Die Wohnung ist komplett renoviert.
Adj,,möbliert,,furnished,mit Möbeln ausgestattet,Die Wohnung ist möbliert.
Adj,,wunderschön,,beautiful,sehr schön,Der Garten ist wunderschön.
Phrase,,in zentraler Lage,,in a central location,in einer zentralen Gegend,Die Wohnung ist in zentraler Lage.
Sub,die,Hausverwaltung,-en,property management,Verwaltung von Immobilien,Die Hausverwaltung kümmert sich um Reparaturen.
Sub,der,Hof,ö-e,courtyard,der Innenbereich eines Gebäudes,Kinder spielen im Hof.
Sub,der,Kinderwagen,,stroller,Wagen zum Schieben von Babys,Sie schiebt den Kinderwagen im Park.
Sub,die,Mieterversammlung,-en,tenants' meeting,ein Treffen der Mieter,Die Mieterversammlung ist nächste Woche.
Sub,der,Papiermüll,,paper waste,Abfall aus Papier,Der Papiermüll muss getrennt werden.
Sub,die,Pflicht,-en,duty,"etwas, das man tun muss","Es ist seine Pflicht, den Müll rauszubringen."
Sub,der,Sack,ä-e,sack,ein Behälter für Abfall oder andere Dinge,Der Sack ist voll mit Müll.
Sub,der,Teilnahme,,participation,das Mitmachen,Die Teilnahme ist freiwillig.
Sub,die,Tonne,-n,bin,ein Behälter für Abfälle,Die Tonne ist voll.
Sub,das,Treppenhaus,ä-er,stairwell,der Bereich mit den Treppen,Im Treppenhaus ist es dunkel.
Sub,die,Vorschrift,-en,regulation,eine Regel oder Anweisung,Die Vorschrift verbietet das Rauchen.
Sub,die,Werbung,,advertisement,ein Anzeigebereich,Die Werbung ist sehr auffällig.
Verb,ab,stellen,(+A),put down,etwas abstellen,Stell bitte die Tasche ab.
Verb,an,schließen,(+A),connect,etwas verbinden,Ich werde den Computer anschließen.
Verb,auf,schließen,(+A),unlock,etwas aufmachen,Ich muss die Tür aufschließen.
Verb,,reinigen,(+A),clean,etwas sauber machen,Er wird das Fenster reinigen.
Verb,,schieben,(+A),push,etwas schieben,Sie schiebt den Wagen.
Verb,,trennen,(+A),separate,etwas auseinandernehmen,Er trennte die Papiere.
Adj,,erwünscht,,desired,gewünscht oder erwartet,Eine schnelle Antwort ist erwünscht.
Adj,,gründlich,,thorough,sehr genau und intensiv,Die Reinigung war gründlich.
Adj,,täglich,,daily,jeden Tag,Sie geht täglich spazieren.
Adj,,wöchentlich,,weekly,jede Woche,Das Treffen findet wöchentlich statt.
Adj,,monatlich,,monthly,jeden Monat,Der Bericht wird monatlich erstellt.
Adj,,jährlich,,yearly,jedes Jahr,Der Jahresbericht wird jährlich gemacht.
Sub,der,Briefkasten,ä,mailbox,Behälter für Post,Der Briefkasten ist voll.
Sub,die,Glühbirne,-n,lightbulb,eine Lampe,Die Glühbirne muss gewechselt werden.
Sub,der,Hausmeister,,caretaker,"Person, die sich um das Gebäude kümmert",Der Hausmeister repariert das Rohr.
Sub,die,Leiter,-n,ladder,ein Gerät zum Klettern,Sie steht auf der Leiter.
Sub,der,Vormieter,,former tenant,"jemand, der vorher in der Wohnung wohnte",Der Vormieter hatte einen Hund.
Sub,der,Wasserfleck,-en,water stain,Fleck durch Wasser,Der Wasserfleck ist auf dem Teppich.
